,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
1899,NC,Brunswick County,"136,744","20,873","43,070","2,398","10,767","11,757","16,694","53,156","24,479","14,203",90
1900,NC,Buncombe County,"259,103","47,834","51,828","5,496","19,890","18,001","23,439","92,212","42,740","28,859",172
1901,NC,Burke County,"90,382","17,095","18,294","1,964","6,914","6,509","8,458","32,307","16,795","12,278",60
1902,NC,Cabarrus County,"211,342","54,217","27,948","6,230","14,936","12,547","15,227","67,328","74,738","18,839",141
1903,NC,Caldwell County,"82,029","16,490","16,302","1,894","6,188","5,873","7,615","28,952","10,605","12,830",54
1904,NC,Camden County,"10,710","2,445","1,750",280,784,713,893,"3,611","2,111",884,7
1905,NC,Carteret County,"69,524","12,208","17,363","1,402","5,375","5,455","7,385","25,771","9,386","6,717",46
1906,NC,Caswell County,"22,698","4,272","4,881",490,"1,736","1,681","2,209","8,182","8,822","3,642",15
1907,NC,Catawba County,"158,652","35,043","28,337","4,026","11,687","10,674","13,629","54,070","39,209","20,321",105
1908,NC,Chatham County,"73,139","14,764","17,857","1,696","5,471","5,550","7,536","26,245","20,618","6,709",48
1909,NC,Cherokee County,"28,383","4,769","8,397",548,"2,198","2,353","3,309","10,772","2,567","5,253",18
1910,NC,Chowan County,"14,029","2,830","3,456",325,"1,047","1,050","1,433","5,018","5,626","2,370",9
1911,NC,Clay County,"11,139","1,924","3,464",221,855,934,"1,331","4,227",795,"1,602",7
1912,NC,Cleveland County,"97,645","21,496","18,184","2,470","7,190","6,635","8,549","33,398","26,487","18,301",65
1913,NC,Columbus County,"55,655","11,645","11,191","1,338","4,142","3,833","5,022","19,317","22,679","13,279",37
1914,NC,Craven County,"102,912","22,231","19,600","2,554","7,579","6,612","8,641","34,901","35,322","14,513",69
1915,NC,Cumberland County,"332,330","82,119","39,617","9,436","23,718","17,891","21,369","104,633","190,679","53,788",222
1916,NC,Currituck County,"27,072","6,058","4,398",696,"1,996","1,828","2,280","9,197","3,431","2,602",18
1917,NC,Dare County,"36,501","6,899","7,819",792,"2,793","2,745","3,596","13,197","4,556","2,992",24
1918,NC,Davidson County,"166,614","36,559","30,377","4,201","12,301","11,428","14,623","57,136","33,811","24,694",111
1919,NC,Davie County,"42,733","8,979","9,044","1,031","3,180","3,104","4,087","15,020","6,822","4,555",28
1920,NC,Duplin County,"58,856","13,962","11,006","1,604","4,233","3,909","5,072","19,694","28,664","11,877",39
1921,NC,Durham County,"316,739","65,824","41,470","7,564","23,795","18,506","22,258","105,635","181,752","41,063",210
1922,NC,Edgecombe County,"52,005","11,711","10,253","1,345","3,796","3,560","4,654","17,746","33,137","11,705",34
1923,NC,Forsyth County,"379,099","86,957","60,617","9,992","27,649","23,954","30,045","126,133","164,800","60,361",251
1924,NC,Franklin County,"67,560","14,796","11,352","1,700","5,002","4,537","5,706","23,039","24,672","8,394",45
1925,NC,Gaston County,"222,846","50,208","35,787","5,769","16,360","14,416","18,036","74,844","62,800","31,172",148
1926,NC,Gates County,"11,573","2,347","2,340",269,872,852,"1,105","4,107","4,190","1,747",7
1927,NC,Graham County,"8,484","1,694","2,019",194,636,631,854,"3,035","1,192","1,575",5
1928,NC,Granville County,"60,115","12,272","10,293","1,410","4,536","4,126","5,187","20,905","25,247","7,331",40
1929,NC,Greene County,"21,012","4,209","3,481",483,"1,590","1,377","1,726","7,254","11,187","4,319",14
1930,NC,Guilford County,"533,670","118,897","80,949","13,663","39,284","33,087","41,028","177,867","267,695","79,267",354
1931,NC,Halifax County,"50,574","10,830","10,479","1,244","3,742","3,576","4,706","17,589","31,276","10,800",33
1932,NC,Harnett County,"134,214","34,902","16,723","4,010","9,423","7,476","9,013","41,996","52,252","18,802",89
1933,NC,Haywood County,"61,971","11,308","15,248","1,299","4,747","4,738","6,423","22,678","4,631","8,071",41
1934,NC,Henderson County,"116,748","22,070","30,074","2,536","8,847","8,944","12,295","42,527","19,752","11,212",77
1935,NC,Hertford County,"23,659","4,467","4,679",513,"1,808","1,646","2,138","8,389","15,851","4,909",15
1936,NC,Hoke County,"54,764","14,936","5,508","1,716","3,791","2,853","3,310","16,642","33,232","9,621",36
1937,NC,Hyde County,"5,230",878,"1,081",100,410,380,495,"1,911","2,095","1,014",3
1938,NC,Iredell County,"178,435","41,060","28,303","4,718","13,034","11,640","14,515","59,750","43,200","16,746",119
1939,NC,Jackson County,"43,327","7,195","8,527",826,"3,395","2,912","3,785","15,566","8,205","6,570",28
1940,NC,Johnston County,"202,675","51,654","26,989","5,935","14,366","12,224","14,831","64,910","66,425","23,374",135
1941,NC,Jones County,"9,637","1,785","2,178",205,739,730,968,"3,505","3,649","1,542",6
1942,NC,Lee County,"61,452","14,733","10,118","1,693","4,420","3,920","4,954","20,287","25,942","9,459",41
1943,NC,Lenoir County,"55,976","12,606","11,088","1,448","4,087","3,859","5,045","19,134","28,441","12,193",37
1944,NC,Lincoln County,"83,770","17,649","14,802","2,028","6,268","5,835","7,384","29,062","12,538","8,555",56
1945,NC,McDowell County,"45,507","9,164","9,317","1,053","3,425","3,247","4,245","16,050","5,757","6,802",30
1946,NC,Macon County,"35,285","6,590","10,056",757,"2,669","2,799","3,937","13,017","3,882","5,700",23
1947,NC,Madison County,"21,763","3,893","4,860",447,"1,678","1,588","2,112","7,889","1,331","3,502",14
1948,NC,Martin County,"22,671","4,587","5,246",527,"1,698","1,693","2,272","8,093","10,867","4,571",15
1949,NC,Mecklenburg County,"1,093,901","257,713","122,549","29,615","79,579","61,333","71,907","351,251","586,264","126,098",728
1950,NC,Mitchell County,"15,000","2,740","3,741",314,"1,148","1,156","1,571","5,501","1,232","2,383",10
1951,NC,Montgomery County,"27,271","6,007","5,597",690,"2,001","1,903","2,505","9,398","10,067","4,379",18
