,Unnamed: 0,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
496,496,GA,Paulding County,164044.0,"42,844","17,394",3247.0,10945.0,"8,682","10,487","45,455",49499.0,12654.0,102
497,497,GA,Peach County,27297.0,"5,700","4,367",432.0,1933.0,"1,641","2,084","8,185",14974.0,6240.0,17
498,498,GA,Pickens County,31980.0,"6,500","7,004",492.0,2301.0,"2,202","2,959","9,951",2059.0,3462.0,20
499,499,GA,Pierce County,19389.0,"4,807","3,302",364.0,1311.0,"1,165","1,511","5,591",3118.0,3490.0,12
500,500,GA,Pike County,18634.0,"4,359","2,969",330.0,1290.0,"1,131","1,449","5,468",2410.0,1947.0,11
501,501,GA,Polk County,42470.0,"10,778","6,575",817.0,2844.0,"2,445","3,122","12,055",12060.0,9079.0,26
502,502,GA,Pulaski County,11069.0,"2,025","2,503",153.0,812.0,771,"1,036","3,518",4151.0,2361.0,6
503,503,GA,Putnam County,21809.0,"4,348","5,246",329.0,1576.0,"1,557","2,124","6,868",7528.0,3488.0,13
504,504,GA,Quitman County,2279.0,405,711,30.0,169.0,183,261,754,1155.0,580.0,1
505,505,GA,Rabun County,16867.0,"2,858","4,663",216.0,1260.0,"1,289","1,791","5,550",2088.0,2346.0,10
506,506,GA,Randolph County,6833.0,"1,387","1,632",105.0,488.0,476,649,"2,130",4421.0,2008.0,4
507,507,GA,Richmond County,201554.0,"46,063","28,342",3491.0,13849.0,"11,249","13,995","58,280",132321.0,41554.0,126
508,508,GA,Rockdale County,90594.0,"22,370","13,059",1695.0,6174.0,"5,293","6,694","26,022",63255.0,11803.0,56
509,509,GA,Schley County,5236.0,"1,309",897,99.0,355.0,322,420,"1,517",1470.0,945.0,3
510,510,GA,Screven County,13938.0,"2,935","2,622",222.0,993.0,904,"1,184","4,247",6317.0,3493.0,8
511,511,GA,Seminole County,8315.0,"1,728","1,918",130.0,593.0,577,783,"2,580",3178.0,2083.0,5
512,512,GA,Spalding County,66100.0,"15,558","11,803",1179.0,4532.0,"4,037","5,260","19,366",27685.0,11184.0,41
513,513,GA,Stephens County,26035.0,"5,787","5,052",438.0,1816.0,"1,657","2,185","7,801",4626.0,4092.0,16
514,514,GA,Stewart County,6199.0,749,964,56.0,478.0,369,453,"2,011",4727.0,1757.0,4
515,515,GA,Sumter County,29733.0,"6,728","4,979",510.0,2051.0,"1,759","2,257","8,724",18073.0,7208.0,18
516,516,GA,Talbot County,6272.0,"1,016","1,529",77.0,478.0,474,644,"2,076",3707.0,1550.0,3
517,517,GA,Taliaferro County,1608.0,272,423,20.0,120.0,120,166,526,985.0,395.0,1
518,518,GA,Tattnall County,25391.0,"5,146","3,629",390.0,1811.0,"1,480","1,841","7,611",10751.0,5298.0,16
519,519,GA,Taylor County,8039.0,"1,632","1,626",123.0,579.0,541,718,"2,490",3467.0,1813.0,5
520,520,GA,Telfair County,15876.0,"2,537","2,873",192.0,1194.0,"1,032","1,325","5,074",8058.0,4042.0,10
521,521,GA,Terrell County,8611.0,"1,987","1,708",150.0,595.0,551,731,"2,562",5548.0,2311.0,5
522,522,GA,Thomas County,44448.0,"10,534","8,131",798.0,3053.0,"2,769","3,629","13,067",18807.0,8846.0,27
523,523,GA,Tift County,40571.0,"10,020","6,037",759.0,2728.0,"2,285","2,888","11,536",18094.0,7636.0,25
524,524,GA,Toombs County,26887.0,"7,113","4,399",539.0,1773.0,"1,555","2,009","7,551",10806.0,6615.0,16
525,525,GA,Towns County,11852.0,"1,507","4,093",114.0,918.0,987,"1,414","4,124",714.0,1704.0,7
526,526,GA,Treutlen County,6809.0,"1,543","1,255",116.0,470.0,419,548,"2,016",2461.0,1684.0,4
527,527,GA,Troup County,70034.0,"16,957","10,394",1285.0,4761.0,"4,021","5,083","20,110",30840.0,13643.0,43
528,528,GA,Turner County,7912.0,"1,912","1,572",144.0,535.0,489,650,"2,307",3718.0,2109.0,4
529,529,GA,Twiggs County,8188.0,"1,583","1,862",119.0,598.0,581,785,"2,592",3642.0,1719.0,5
530,530,GA,Union County,24001.0,"3,805","7,923",288.0,1816.0,"1,989","2,846","8,136",1538.0,3268.0,15
531,531,GA,Upson County,26215.0,"5,823","4,843",441.0,1839.0,"1,670","2,187","7,865",8596.0,5566.0,16
532,532,GA,Walker County,69410.0,"15,094","12,876",1144.0,4893.0,"4,428","5,794","20,923",6459.0,10542.0,43
533,533,GA,Walton County,93503.0,"23,085","14,488",1749.0,6348.0,"5,506","7,034","26,884",24343.0,10993.0,58
534,534,GA,Ware County,35680.0,"8,564","6,167",649.0,2430.0,"2,143","2,779","10,365",13222.0,7827.0,22
535,535,GA,Warren County,5251.0,"1,065","1,191",80.0,378.0,367,497,"1,641",3268.0,1330.0,3
536,536,GA,Washington County,20386.0,"4,398","3,540",333.0,1439.0,"1,272","1,645","6,126",11732.0,4787.0,12
537,537,GA,Wayne County,29808.0,"7,274","4,722",551.0,2025.0,"1,752","2,243","8,588",8571.0,5147.0,18
538,538,GA,Webster County,2611.0,508,617,38.0,190.0,188,256,828,1254.0,592.0,1
539,539,GA,Wheeler County,7879.0,"1,342","1,152",101.0,582.0,470,582,"2,448",3469.0,2116.0,5
540,540,GA,White County,29970.0,"5,931","6,890",449.0,2163.0,"2,086","2,822","9,391",2364.0,4118.0,18
541,541,GA,Whitfield County,104062.0,"26,870","14,620",2036.0,6925.0,"5,794","7,284","29,191",43993.0,14567.0,65
542,542,GA,Wilcox County,8812.0,"1,673","1,591",126.0,637.0,553,713,"2,715",3646.0,2101.0,5
543,543,GA,Wilkes County,9876.0,"2,088","2,282",158.0,702.0,686,932,"3,054",4833.0,1965.0,6
544,544,GA,Wilkinson County,9036.0,"2,053","1,751",155.0,631.0,588,778,"2,711",3908.0,2062.0,5
545,545,GA,Worth County,20299.0,"4,540","3,872",344.0,1422.0,"1,308","1,724","6,098",6546.0,4128.0,12
546,546,HI,Hawaii County,200983.0,"43,553","42,032",4444.0,14523.0,"6,922","13,053","62,784",140018.0,30903.0,91
547,547,HI,Honolulu County,980080.0,"207,765","173,793",21199.0,71768.0,"30,824","56,918","302,694",803626.0,73345.0,449
548,548,HI,Kalawao County,88.0,0,37,0.0,7.0,5,9,36,65.0,0.0,0
549,549,HI,Kauai County,72133.0,"15,749","14,539",1606.0,5210.0,"2,447","4,598","22,445",50931.0,6021.0,32
550,550,HI,Maui County,167207.0,"36,347","30,566",3708.0,12147.0,"5,505","10,237","51,885",116808.0,14130.0,76
551,551,ID,Ada County,469966.0,"111,737","67,792",7996.0,30845.0,"19,606","27,145","135,509",73002.0,44434.0,226
552,552,ID,Adams County,4250.0,754,"1,221",53.0,295.0,250,387,"1,454",377.0,554.0,2
553,553,ID,Bannock County,87138.0,"22,849","12,400",1635.0,5519.0,"3,422","4,789","24,103",14350.0,11768.0,42
554,554,ID,Bear Lake County,6050.0,"1,617","1,248",115.0,376.0,277,416,"1,754",400.0,642.0,2
555,555,ID,Benewah County,9226.0,"2,084","2,073",149.0,608.0,471,703,"2,880",1414.0,1342.0,4
556,556,ID,Bingham County,46236.0,"14,233","6,595",1018.0,2748.0,"1,786","2,518","12,182",12213.0,5510.0,22
557,557,ID,Blaine County,22601.0,"4,990","4,435",357.0,1508.0,"1,102","1,599","6,969",5769.0,1575.0,10
