County,HD #,HD Pop. in County,% of County in HD
Rockingham,Rockingham 31 (F),12899,0.044
Rockingham,Rockingham 32 (F),17215,0.058
Rockingham,Rockingham 33 (F),13166,0.045
Rockingham,Rockingham 34 (F),28904,0.098
Rockingham,Rockingham 35 (F),9898,0.034
Rockingham,Rockingham 36 (F),32177,0.109
Rockingham,Rockingham 37 (F),26359,0.089
Strafford,Strafford 01,6381,0.052
Strafford,Strafford 02,6786,0.055
Strafford,Strafford 03,6629,0.054
Strafford,Strafford 04,8576,0.07
Strafford,Strafford 05,4330,0.035
Strafford,Strafford 06,16409,0.133
Strafford,Strafford 07,4995,0.041
Strafford,Strafford 08,5014,0.041
Strafford,Strafford 09,5030,0.041
Strafford,Strafford 10,4911,0.04
Strafford,Strafford 11,4905,0.04
Strafford,Strafford 12,4897,0.04
Strafford,Strafford 13,4991,0.041
Strafford,Strafford 14,5074,0.041
Strafford,Strafford 15,5028,0.041
Strafford,Strafford 16,5134,0.042
Strafford,Strafford 17,14602,0.119
Strafford,Strafford 18,9451,0.077
Strafford,Strafford 19 (F),10065,0.082
Strafford,Strafford 20 (F),10162,0.083
Strafford,Strafford 21 (F),24053,0.195
Strafford,Strafford 22 (F),10009,0.081
Strafford,Strafford 23 (F),9941,0.081
Strafford,Strafford 24 (F),9802,0.08
Strafford,Strafford 25 (F),12906,0.105
Sullivan,Sullivan 01,8300,0.19
Sullivan,Sullivan 02,4129,0.094
Sullivan,Sullivan 03,4598,0.105
Sullivan,Sullivan 04,4490,0.103
Sullivan,Sullivan 05,4267,0.098
Sullivan,Sullivan 06,8178,0.187
Sullivan,Sullivan 07,4666,0.107
Sullivan,Sullivan 08,5114,0.117
Sullivan,Sullivan 09 (F),20607,0.471
Sullivan,Sullivan 10 (F),13355,0.305
Sullivan,Sullivan 11 (F),9780,0.224
